Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
43,"A Sakamoto, C Kim",The economic characteristics of Asian Americans in the 21st century,6,2013, books.google.com, The Economics of Inequality  Poverty  and …,"https://books.google.com/books?hl=en&lr=&id=gRfOEAAAQBAJ&oi=fnd&pg=PA236&dq=asian+american+housing,+economics&ots=W-gXRe9-5U&sig=rXuk5mjeRYMgURPpl5zy9e-XWew",0
59,R Yao,Financial Wellbeing of Asian Americans,6,2016, Springer, Handbook of consumer finance research,https://link.springer.com/chapter/10.1007/978-3-319-28887-1_19,1
91,PX Lima,Asian Americans for Equality v. Koch: The Battle over Affordable Housing,3,1986, HeinOnline, Pace Envtl. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/penv4&section=24,0
21,"P Gee, DN Le, R Lee, JA Yoo…",The struggle for quality affordable housing in New York City: Asian Americans for equality,3,2010, search.proquest.com, Asian American Policy …,https://search.proquest.com/openview/7357254e1554cd95fbae95f2ae46cddb/1?pq-origsite=gscholar&cbl=436384,0
82,HK Lui,Housing tenure of older Asian minorities in Hong Kong,3,2023, Elsevier, Habitat International,https://www.sciencedirect.com/science/article/pii/S0197397522002351,1
70,"RV Patraporn, BW Kim",Resurgent ethnicity and residential choice among second-generation Asian Americans in a Los Angeles Panethnic suburb,3,2022, journals.sagepub.com, Urban Affairs Review,https://journals.sagepub.com/doi/abs/10.1177/10780874211016941,1
14,"P Ong, C Pech, M De-La Cruz Viesca, C Calderon",Crisis to impact: Reflecting on a decade of housing counseling services in Asian American and Pacific Islander communities,2,2021, escholarship.org,,https://escholarship.org/uc/item/94v9w6b5,0
29,PM Ong,Asian American Pacific Islander Economic Justice,2,2016, meridian.allenpress.com, AAPI Nexus: Policy  Practice and Community,https://meridian.allenpress.com/aapi-nexus/article-pdf/14/1/30/1415481/nx_014_01_30.pdf,0
42,"CA Lee, L Hasegawa…",Asian American and Pacific Islander Wealth inequality and developing paths to financial security,2,2015, meridian.allenpress.com, AAPI Nexus: Policy …,https://meridian.allenpress.com/aapi-nexus/article-pdf/13/1-2/vii/1417885/1545-0317_13_1_vii.pdf,0
97,"PM Ong, C Pech, A Cheng",Wealth Heterogeneity Among Asian American Elderly.,2,2017, studentreview.hks.harvard.edu, Asian American …,https://studentreview.hks.harvard.edu/wp-content/uploads/2023/11/AAPR-Volume-27-2016-2017.pdf#page=13,0
74,S Chan,Asian American Economic and Labor History,2,2013, books.google.com, The Oxford Handbook of Asian American History,"https://books.google.com/books?hl=en&lr=&id=yw4HCwAAQBAJ&oi=fnd&pg=PA299&dq=asian+american+housing,+economics&ots=Jc8COHDuOG&sig=1bTQ41IpUpvCDJTar5P5o92D33I",0
13,"PM Ong, C Pech",COVID-19 pandemic impacts on Asian American housing,1,2020, aasc.ucla.edu, Policy Report UCLA Asian American Studies …,https://www.aasc.ucla.edu/aapipolicy/summit2022/reports_feb10/Ong-Pech_report.pdf,0
85,K Maw,Measuring the Urban Wage Premium of Asian American Subgroups,1,2023, ecommons.cornell.edu,4866,https://ecommons.cornell.edu/bitstreams/61cc0867-4f54-48eb-a458-24948e5d255f/download,0
84,D Mar,Overview of Economic Issues,1,2009, books.google.com, Encyclopedia of Asian American Issues Today:[2 …,"https://books.google.com/books?hl=en&lr=&id=SbrOEAAAQBAJ&oi=fnd&pg=PA91&dq=asian+american+housing,+economics&ots=1IIf5KLF82&sig=SHGJvx8H8bHEI2QzWNCLIIkC9rk",0
7,"A Ang, E Kwon, S Zheng",The Impacts of Asian Immigrants on School Performance and Local Housing Markets in the US,1,2023, cre.mit.edu, MIT Center for Real Estate  Research Paper,https://cre.mit.edu/wp-content/uploads/2023/06/Asian_Immigrant_Project-Eunjee-Kwon.pdf,0
39,N Sirathanapornpat,Hidden in Plain Sight: Economic Inequality in Asian America,1,2022, amherst.edu, Amherst College,https://www.amherst.edu/system/files/media/Naleenvali%20Sirathanapornpat%20Thesis%202022%20Final.pdf,0
16,"E Kwon, S Zheng, A Ang",Asian Migrants and the US Housing Market (2009–2018),0,2024, papers.ssrn.com, Available at SSRN 5070803,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5070803,0
99,"GU Krueger, S Laurie",The Interconnectedness Between Home Builders and the Asian American Community,0,2015, ecommons.cornell.edu,,https://ecommons.cornell.edu/bitstream/1813/70758/1/Krueger.pdf,0
